# Generated by local stop-line/heading/controller matching; converter refers links are ignored.
vtd_id,autoware_group_id,signal_type,signal_subtype
389,463583,1000020,-1
389,463585,1000020,-1
390,463583,1000008,-1
390,463585,1000008,-1
391,463583,1000012,-1
391,463585,1000012,-1
392,463591,1000020,-1
393,463591,1000008,-1
394,463591,1000012,-1
398,463615,1000020,-1
398,463617,1000020,-1
399,463615,1000008,-1
399,463617,1000008,-1
400,463615,1000012,-1
400,463617,1000012,-1
401,463721,1000020,-1
401,463723,1000020,-1
402,463721,1000008,-1
402,463723,1000008,-1
403,463725,1000020,-1
404,463725,1000008,-1
405,463721,1000012,10
405,463723,1000012,10
406,463725,1000012,-1
407,463619,1000020,-1
407,463621,1000020,-1
407,463623,1000020,-1
408,463619,1000008,-1
408,463621,1000008,-1
408,463623,1000008,-1
409,463625,1000020,-1
410,463625,1000008,-1
411,463619,1000012,10
411,463621,1000012,10
411,463623,1000012,10
412,463625,1000012,-1
413,463709,1000020,-1
413,463711,1000020,-1
414,463709,1000008,-1
414,463711,1000008,-1
415,463713,1000020,-1
416,463713,1000008,-1
417,463709,1000012,10
417,463711,1000012,10
418,463713,1000012,-1
419,463735,1000020,-1
419,463737,1000020,-1
419,463739,1000020,-1
420,463735,1000008,-1
420,463737,1000008,-1
420,463739,1000008,-1
421,463741,1000020,-1
422,463741,1000008,-1
423,463735,1000012,10
423,463737,1000012,10
423,463739,1000012,10
424,463741,1000012,-1
425,463749,1000020,-1
425,463751,1000020,-1
426,463749,1000008,-1
426,463751,1000008,-1
427,463749,1000012,-1
427,463751,1000012,-1
428,463715,1000020,-1
428,463717,1000020,-1
428,463719,1000020,-1
429,463715,1000008,-1
429,463717,1000008,-1
429,463719,1000008,-1
430,463715,1000012,-1
430,463717,1000012,-1
430,463719,1000012,-1
431,463035,1000020,-1
432,463035,1000008,-1
433,463035,1000012,-1
434,463021,1000020,-1
435,463021,1000008,-1
438,463021,1000012,10
440,463023,1000020,-1
441,463023,1000008,-1
442,463025,1000020,-1
443,463025,1000008,-1
444,463023,1000012,10
445,463025,1000012,-1
446,463027,1000020,-1
447,463027,1000008,-1
448,463029,1000020,-1
449,463029,1000008,-1
450,463027,1000012,10
451,463029,1000012,-1
